"Frequency", "Magnitude"
4255.0, -2.278789
4293.0, -2.307054
4332.0, -2.339529
4371.0, -2.375070
4410.0, -2.413258
4450.0, -2.454769
4491.0, -2.499382
4531.0, -2.544564
4572.0, -2.592242
4613.0, -2.640999
4655.0, -2.691780
4697.0, -2.743149
4740.0, -2.796113
4782.0, -2.848006
4826.0, -2.902353
4869.0, -2.955288
4913.0, -3.009131
4958.0, -3.063735
5002.0, -3.116570
5048.0, -3.171127
5093.0, -3.223754
5139.0, -3.276730
5186.0, -3.329950
5232.0, -3.381115
5280.0, -3.433502
5327.0, -3.483787
5376.0, -3.535138
5424.0, -3.584373
5473.0, -3.633546
5523.0, -3.682599
5573.0, -3.730528
5623.0, -3.777350
5674.0, -3.823988
5725.0, -3.869517
5777.0, -3.914822
5829.0, -3.959027
5882.0, -4.002977
5935.0, -4.045844
5988.0, -4.087658
6042.0, -4.129208
6097.0, -4.170469
6152.0, -4.210695
6208.0, -4.250622
6264.0, -4.289543
6320.0, -4.327491
6378.0, -4.365801
6435.0, -4.402500
6493.0, -4.438908
6552.0, -4.475008
6611.0, -4.510198
6671.0, -4.545081
6731.0, -4.579086
6792.0, -4.612788
6853.0, -4.645644
6915.0, -4.678202
6978.0, -4.710452
7041.0, -4.741892
7104.0, -4.772551
7169.0, -4.803394
7233.0, -4.833008
7299.0, -4.862791
7365.0, -4.891836
7431.0, -4.920171
7498.0, -4.948235
7566.0, -4.976025
7635.0, -5.003539
7704.0, -5.030389
7773.0, -5.056604
7843.0, -5.082575
7914.0, -5.108303
7986.0, -5.133788
8058.0, -5.158691
8131.0, -5.183371
8204.0, -5.207506
8278.0, -5.231440
8353.0, -5.255177
8429.0, -5.278722
8505.0, -5.301782
8582.0, -5.324675
8659.0, -5.347120
8737.0, -5.369422
8816.0, -5.391590
8896.0, -5.413631
8976.0, -5.435284
9057.0, -5.456836
9139.0, -5.478294
9222.0, -5.499666
9305.0, -5.520708
9389.0, -5.541686
9474.0, -5.562608
9560.0, -5.583478
9646.0, -5.604065
9733.0, -5.624616
9821.0, -5.645133
9910.0, -5.665619
10000.0, -5.686072
10090.0, -5.706266
10181.0, -5.726425
10273.0, -5.746541
10366.0, -5.766605
10459.0, -5.786390
10554.0, -5.806305
10649.0, -5.825909
10746.0, -5.845590
10843.0, -5.864911
10941.0, -5.884041
11039.0, -5.902751
11139.0, -5.921374
11240.0, -5.939665
11341.0, -5.957389
11444.0, -5.974830
11547.0, -5.991571
11652.0, -6.007855
11757.0, -6.023277
11863.0, -6.037896
11970.0, -6.051598
12079.0, -6.064376
12188.0, -6.075861
12298.0, -6.086035
12409.0, -6.094747
12521.0, -6.101832
12634.0, -6.107119
12748.0, -6.110425
12863.0, -6.111558
12980.0, -6.110297
13097.0, -6.106456
13215.0, -6.099818
13335.0, -6.090073
13455.0, -6.077159
13577.0, -6.060636
13699.0, -6.040552
13823.0, -6.016357
13948.0, -5.987984
14074.0, -5.955228
14201.0, -5.917895
14330.0, -5.875460
14459.0, -5.828420
14590.0, -5.775908
14722.0, -5.718155
14855.0, -5.655074
14989.0, -5.586608
15124.0, -5.512733
15261.0, -5.432856
15399.0, -5.347553
15538.0, -5.256903
15678.0, -5.161024
15820.0, -5.059337
15963.0, -4.952698
16107.0, -4.841331
16253.0, -4.724675
16399.0, -4.604609
16548.0, -4.478942
16697.0, -4.350503
16848.0, -4.217921
17000.0, -4.082417
17154.0, -3.943462
17309.0, -3.802334
17465.0, -3.659427
17623.0, -3.514219
17782.0, -3.368023
17943.0, -3.220317
18105.0, -3.072416
18269.0, -2.923801
18434.0, -2.775769
18600.0, -2.628685
18768.0, -2.482038
18938.0, -2.336214
19109.0, -2.192431
19282.0, -2.050196
19456.0, -1.910671
19632.0, -1.773386
19809.0, -1.639439
19988.0, -1.508387
